Date,Time,Tilted GHI
20100210,16,92.86514829168624
20100210,17,12.676693833479344
20100210,18,0.0
20100210,19,0.0
20100210,20,0.0
20100210,21,0.0
20100210,22,0.0
20100210,23,0.0
20100211,00,0.0
20100211,01,0.0
20100211,02,0.0
20100211,03,0.0
20100211,04,0.0
20100211,05,0.0
20100211,06,7.775588803765416
20100211,07,-5.092004087322879
20100211,08,424.7186367276018
20100211,09,638.6757959018723
20100211,10,781.8910274195266
20100211,11,811.993034291267
20100211,12,774.9968519452598
20100211,13,704.7799269849041
20100211,14,549.8299591598944
20100211,15,332.5149529907234
20100211,16,128.50471170704935
20100211,17,13.598428328606113
20100211,18,0.0
20100211,19,0.0
20100211,20,0.0
20100211,21,0.0
20100211,22,0.0
20100211,23,0.0
20100212,00,0.0
20100212,01,0.0
20100212,02,0.0
20100212,03,0.0
20100212,04,0.0
20100212,05,0.0
20100212,06,7.1104005282203495
20100212,07,20.609935400066288
20100212,08,283.5656031565897
20100212,09,381.03688910543804
20100212,10,569.1077561563459
20100212,11,696.5856073718865
20100212,12,610.3985444992006
20100212,13,483.3080849403568
20100212,14,436.33888339280094
20100212,15,247.49000305407762
20100212,16,104.24483560330353
20100212,17,12.444295713225163
20100212,18,0.0
20100212,19,0.0
20100212,20,0.0
20100212,21,0.0
20100212,22,0.0
20100212,23,0.0
20100213,00,0.0
20100213,01,0.0
20100213,02,0.0
20100213,03,0.0
20100213,04,0.0
20100213,05,0.0
20100213,06,7.000175475191542
20100213,07,19.42542910024094
20100213,08,266.392073676734
20100213,09,421.15304023296966
20100213,10,533.9348927977203
20100213,11,703.2243688842074
20100213,12,699.6652657381674
20100213,13,594.085841828623
20100213,14,486.44388982330526
20100213,15,300.55476389759383
20100213,16,103.48849596228875
20100213,17,13.144044525279844
20100213,18,0.0
20100213,19,0.0
20100213,20,0.0
20100213,21,0.0
20100213,22,0.0
20100213,23,0.0
20100214,00,0.0
20100214,01,0.0
20100214,02,0.0
20100214,03,0.0
20100214,04,0.0
20100214,05,0.0
20100214,06,8.418327877918937
20100214,07,-17.72422779863308
20100214,08,342.0238519824262
20100214,09,605.9912129640142
20100214,10,676.9519394423945
20100214,11,796.6661258703043
20100214,12,803.6489989054762
20100214,13,704.2187580718365
20100214,14,575.6074251008304
20100214,15,366.9507398262021
20100214,16,181.17373059601854
20100214,17,17.154888942013105
20100214,18,0.0
20100214,19,0.0
20100214,20,0.0
20100214,21,0.0
20100214,22,0.0
20100214,23,0.0
20100215,00,0.0
20100215,01,0.0
20100215,02,0.0
20100215,03,0.0
20100215,04,0.0
20100215,05,0.0
20100215,06,8.356975602856279
20100215,07,8.01441238713091
20100215,08,158.9266064115951
20100215,09,231.43256293104488
20100215,10,328.462850218703
20100215,11,244.41021445876592
20100215,12,526.6703292382663
20100215,13,288.1242268318314
20100215,14,218.8305086083035
20100215,15,118.32479216315612
20100215,16,64.2514194987999
20100215,17,9.654114452779687
20100215,18,0.0
20100215,19,0.0
20100215,20,0.0
20100215,21,0.0
20100215,22,0.0
20100215,23,0.0
20100216,00,0.0
20100216,01,0.0
20100216,02,0.0
20100216,03,0.0
20100216,04,0.0
20100216,05,0.0
20100216,06,9.57447446186259
20100216,07,-99.62877748014834
20100216,08,370.46154448876155
20100216,09,560.616296087546
20100216,10,740.9724550814728
20100216,11,755.5427256355348
20100216,12,801.2260193339024
20100216,13,753.5744857045933
20100216,14,597.7731646362865
20100216,15,393.5774283457045
20100216,16,162.22870326398066
20100216,17,18.835779271661973
20100216,18,0.0
20100216,19,0.0
20100216,20,0.0
20100216,21,0.0
20100216,22,0.0
20100216,23,0.0
20100217,00,0.0
20100217,01,0.0
20100217,02,0.0
20100217,03,0.0
20100217,04,0.0
20100217,05,0.0
20100217,06,11.269486696773226
20100217,07,-170.3344535407382
20100217,08,405.34451909523153
20100217,09,669.6103404265033
20100217,10,830.4252474754894
20100217,11,819.3495132052424
20100217,12,839.3045625521622
20100217,13,758.2069356324831
20100217,14,618.2203626270575
20100217,15,408.1353026138188
20100217,16,178.43433914782582
20100217,17,20.336165803005933
20100217,18,0.0
20100217,19,0.0
20100217,20,0.0
20100217,21,0.0
20100217,22,0.0
20100217,23,0.0
20100218,00,0.0
20100218,01,0.0
20100218,02,0.0
20100218,03,0.0
20100218,04,0.0
20100218,05,0.0
20100218,06,12.202350523059982
20100218,07,-492.83783798671067
20100218,08,527.6034430678794
20100218,09,742.743118534613
20100218,10,892.7805534904082
20100218,11,982.8962993548346
20100218,12,984.7006349707782
20100218,13,894.2526017128503
20100218,14,731.8057383521277
20100218,15,503.9598836191628
20100218,16,235.3013661008403
20100218,17,23.77025962682337
20100218,18,0.0
20100218,19,0.0
20100218,20,0.0
20100218,21,0.0
20100218,22,0.0
20100218,23,0.0
20100219,00,0.0
20100219,01,0.0
20100219,02,0.0
20100219,03,0.0
20100219,04,0.0
20100219,05,0.0
20100219,06,13.535580632714021
20100219,07,-790.6571854895525
20100219,08,533.3220295704062
20100219,09,746.3542213594584
20100219,10,901.58772027696
20100219,11,956.115023479637
20100219,12,961.5223393630964
20100219,13,879.5551362082712
20100219,14,713.7290548369851
20100219,15,484.3799018573231
20100219,16,219.47049124508413
20100219,17,24.297445698274565
20100219,18,0.0
20100219,19,0.0
20100219,20,0.0
20100219,21,0.0
20100219,22,0.0
20100219,23,0.0
20100220,00,0.0
20100220,01,0.0
20100220,02,0.0
20100220,03,0.0
20100220,04,0.0
20100220,05,0.0
20100220,06,14.64466818460793
20100220,07,-1622.7023000793758
20100220,08,563.8134453729926
20100220,09,770.8962085461155
20100220,10,925.1261183134645
20100220,11,967.7195554502
20100220,12,974.3409913576035
20100220,13,884.7717474858391
20100220,14,725.4650486468636
20100220,15,493.09120594217615
20100220,16,236.22780941448244
20100220,17,26.03621036709956
20100220,18,0.0
20100220,19,0.0
20100220,20,0.0
20100220,21,0.0
20100220,22,0.0
20100220,23,0.0
20100221,00,0.0
20100221,01,0.0
20100221,02,0.0
20100221,03,0.0
20100221,04,0.0
20100221,05,0.0
20100221,06,15.335067070245664
20100221,07,-3289.122372421491
20100221,08,551.912317670303
20100221,09,758.5154107859904
20100221,10,912.559725322683
20100221,11,937.326086332875
20100221,12,940.9238300982576
20100221,13,858.8597183891143
20100221,14,696.1920041333074
20100221,15,466.8807698882511
20100221,16,201.78404711811748
20100221,17,23.62462872832701
20100221,18,0.0
20100221,19,0.0
20100221,20,0.0
20100221,21,0.0
20100221,22,0.0
20100221,23,0.0
20100222,00,0.0
20100222,01,0.0
20100222,02,0.0
20100222,03,0.0
20100222,04,0.0
20100222,05,0.0
20100222,06,15.057396383529333
20100222,07,14191.778611778147
20100222,08,510.66766905721454
20100222,09,701.0236578990045
20100222,10,810.4716692012358
20100222,11,885.9179023228864
20100222,12,767.2565276646139
20100222,13,496.2374486390182
20100222,14,454.7150373010336
20100222,15,338.9780099208366
20100222,16,162.33453505008532
20100222,17,20.631562763992992
20100222,18,0.0
20100222,19,0.0
20100222,20,0.0
20100222,21,0.0
20100222,22,0.0
20100222,23,0.0
20100223,00,0.0
20100223,01,0.0
20100223,02,0.0
20100223,03,0.0
20100223,04,0.0
20100223,05,0.0
20100223,06,14.254009694815942
20100223,07,1097.9777006387023
20100223,08,385.3699084205231
20100223,09,587.5624900020733
20100223,10,763.9358762558331
20100223,11,923.1934754804631
20100223,12,943.9023934255547
20100223,13,861.8098537635508
20100223,14,698.831325128988
20100223,15,471.5519346103721
20100223,16,226.9330232613258
20100223,17,27.905550203581793
20100223,18,0.0
20100223,19,0.0
20100223,20,0.0
20100223,21,0.0
20100223,22,0.0
20100223,23,0.0
20100224,00,0.0
20100224,01,0.0
20100224,02,0.0
20100224,03,0.0
20100224,04,0.0
20100224,05,0.0
20100224,06,16.584939712822226
20100224,07,865.0932710277534
20100224,08,403.39832659520175
20100224,09,606.7805282608916
20100224,10,762.2094174547688
20100224,11,750.7973396225455
20100224,12,627.0288107627597
20100224,13,693.0036003217066
20100224,14,572.6520390610858
20100224,15,376.6854013586573
20100224,16,161.4884711217774
20100224,17,22.947737911790757
20100224,18,0.0
20100224,19,0.0
20100224,20,0.0
20100224,21,0.0
20100224,22,0.0
20100224,23,0.0
20100225,00,0.0
20100225,01,0.0
20100225,02,0.0
20100225,03,0.0
20100225,04,0.0
20100225,05,0.0
20100225,06,16.874861889112825
20100225,07,466.04895151226685
20100225,08,428.669899849124
20100225,09,641.3727099021568
20100225,10,796.3052228527928
20100225,11,904.6742051394015
20100225,12,881.2972297878528
20100225,13,833.4702141695701
20100225,14,678.3310415951977
20100225,15,448.2670336359805
20100225,16,195.84983330914378
20100225,17,26.9587627481401
20100225,18,0.0
20100225,19,0.0
20100225,20,0.0
20100225,21,0.0
20100225,22,0.0
20100225,23,0.0
20100226,00,0.0
20100226,01,0.0
20100226,02,0.0
20100226,03,0.0
20100226,04,0.0
20100226,05,0.0
20100226,06,17.61049542059055
20100226,07,447.91256439042724
20100226,08,458.2715484126122
20100226,09,674.4908751459194
20100226,10,833.2276738041414
